,0,1,2
0,Mjesto,Broj birača,Broj listića
1,VELIKA KLADUŠA,44045,15701
2,CAZIN,54839,19509
3,BIHAĆ,57891,22365
4,BOSANSKA KRUPA,26134,9852
5,BUŽIM,15326,7952
6,KRUPA NA UNI,1709,949
7,NOVI GRAD,26694,12420
8,KOZARSKA DUBICA,23376,10311
9,PRIJEDOR,86502,34007
10,GRADIŠKA,55619,22775
11,LAKTAŠI,32948,15932
12,SRBAC,17681,9957
13,PRNJAVOR,39638,16342
14,DERVENTA,33673,13580
15,BROD,18685,8171
16,ODŽAK,17422,5373
17,VUKOSAVLJE,4571,1951
18,DOMALJEVAC - ŠAMAC,4627,1116
19,ŠAMAC,16507,8981
20,ORAŠJE,18232,4019
21,DONJI ŽABAR,1788,1219
22,MODRIČA,28036,13386
23,GRADAČAC,36348,20729
24,PELAGIĆEVO,4844,2685
25,BIJELJINA,109548,52058
26,BOSANSKI PETROVAC,6585,3057
27,PETROVAC,1147,761
28,SANSKI MOST,35597,10173
29,OŠTRA LUKA,4289,1661
30,BANJA LUKA,192193,97260
31,ČELINAC,15688,9183
32,DOBOJ ISTOK,9900,5896
33,DOBOJ JUG,4335,2317
34,TEŠANJ,40370,15844
35,STANARI,7684,4621
36,MAGLAJ,20257,9774
37,GRAČANICA,42021,21311
38,PETROVO,6581,3424
39,LUKAVAC,41972,21151
40,SREBRENIK,38929,20492
41,TUZLA,112274,42946
42,ČELIĆ,10093,5821
43,LOPARE,12747,7065
44,TEOČAK,6728,2152
45,UGLJEVIK,14306,9871
46,DRVAR,6704,3389
47,ISTOČNI DRVAR,210,151
48,KLJUČ,16469,5594
49,RIBNIK,6228,3640
50,MRKONJIĆ GRAD,18024,6687
51,JAJCE,25857,12031
52,JEZERO,1119,599
53,DOBRETIĆI,2329,855
54,KNEŽEVO,9296,5869
55,KOTOR VAROŠ,22146,11549
56,TESLIĆ,44223,21238
57,ŽEPČE,25373,11864
58,ZAVIDOVIĆI,34459,16477
59,BANOVIĆI,20667,14914
60,ŽIVINICE,54507,31374
61,KALESIJA,33523,16385
62,OSMACI,3932,2284
63,SAPNA,10190,5071
64,ZVORNIK,54402,31843
65,BOSANSKO GRAHOVO,2950,1253
66,GLAMOČ,4181,1895
67,ŠIPOVO,10821,5548
68,DONJI VAKUF,12698,7401
69,TRAVNIK,47921,22947
70,ZENICA,102018,49521
71,KAKANJ,34252,16769
72,VAREŠ,8560,3892
73,OLOVO,8666,3647
74,KLADANJ,11516,6714
75,ŠEKOVIĆI,7450,5220
76,VLASENICA,10152,5665
77,BRATUNAC,18760,10355
78,LIVNO,27289,7731
79,KUPRES,3765,1740
80,KUPRES (RS),349,189
81,BUGOJNO,30097,13322
82,GORNJI VAKUF - USKOPLJE,17285,9896
83,NOVI TRAVNIK,20875,11520
84,VITEZ,22988,10964
85,BUSOVAČA,14141,8105
86,FOJNICA,10581,5299
87,KISELJAK,17689,8896
88,VISOKO,34084,20308
89,BREZA,11334,6833
90,ILIJAŠ,20951,10000
91,SOKOLAC,10681,7285
92,HAN PIJESAK,3268,2302
93,TOMISLAVGRAD,20524,7785
94,PROZOR - RAMA,11897,6578
95,JABLANICA,8970,5548
96,KONJIC,22280,11449
97,KREŠEVO,4517,2204
98,HADŽIĆI,22560,11312
99,ILIDŽA,65601,28849
100,ISTOČNA ILIDŽA,13653,9757
101,NOVI GRAD SARAJEVO,115193,44622
102,VOGOŠĆA,27471,11705
103,CENTAR SARAJEVO,60326,25479
104,STARI GRAD SARAJEVO,36888,17890
105,ISTOČNI STARI GRAD,1115,910
106,NOVO SARAJEVO,68477,27826
107,ISTOČNO NOVO SARAJEVO,10779,6845
108,TRNOVO (FBIH),2696,2246
109,TRNOVO,1332,1018
110,PALE (FBIH),622,502
111,PALE,19971,12439
112,ROGATICA,9292,6592
113,VIŠEGRAD,10916,6459
114,POSUŠJE,14485,4628
115,GRUDE,13458,3540
116,ŠIROKI BRIJEG,23530,8529
117,ISTOČNI MOSTAR,190,157
118,NEVESINJE,11673,7016
119,KALINOVIK,1827,1443
120,GACKO,8241,6157
121,FOČA (FBIH),1638,1102
122,FOČA,17180,9211
123,GORAŽDE,20840,11418
124,NOVO GORAŽDE,1822,1246
125,ČAJNIČE,4110,2628
126,RUDO,7829,4197
127,LJUBUŠKI,22543,9674
128,ČITLUK,13972,6327
129,ČAPLJINA,22153,9174
130,NEUM,3810,2155
131,STOLAC,11271,8073
132,BERKOVIĆI,1697,1232
133,LJUBINJE,3245,2226
134,BILEĆA,10246,7223
135,RAVNO,1543,674
136,TREBINJE,30861,17405
137,USORA,5920,1022
138,KOSTAJNICA,5046,2775
139,MILIĆI,8473,4644
140,ISTOČNO SARAJEVO,57531,36859
